"user_id","year_school","floor"
1,"GRT / Other","f282.2"
2,"Freshman","f282.4"
3,"Sophomore","f282.4"
4,"Sophomore","f282.1"
5,"Freshman","f282.3"
6,"Sophomore","f282.3"
7,"Junior","f282.1"
8,"Freshman","f282.4"
9,"Sophomore","f290.4"
10,"Sophomore","f290.4"
11,"Senior","f282.1"
12,"Senior",
13,"Senior","f282.4"
14,"Sophomore","f282.3"
15,"GRT / Other","f290.2"
16,"Junior","f282.2"
17,"Freshman","f282.3"
18,"Junior","f290.3"
19,"Senior","f290.3"
20,"Sophomore","f282.3"
21,"Sophomore","f282.1"
22,"Senior","f290.3"
23,"Sophomore","f282.4"
24,"Senior",
25,"Sophomore","f282.4"
26,"Junior","f290.3"
27,"Sophomore","f282.1"
28,"GRT / Other","f282.3"
29,"Senior","f290.3"
30,"Sophomore","f282.3"
31,"Junior","f282.1"
32,"Freshman","f290.3"
33,"Senior","f282.1"
34,"Senior","f282.4"
35,"Freshman","f290.4"
36,"Sophomore","f282.3"
37,"GRT / Other","f290.4"
38,"Freshman","f282.4"
39,"Senior","f282.3"
40,"Freshman","f290.3"
41,"Freshman","f282.4"
42,"Sophomore","f282.3"
43,"Freshman","f282.2"
44,"Sophomore","f282.2"
45,"Freshman","f290.4"
46,"Sophomore","f282.3"
47,"Junior","f282.3"
48,"GRT / Other","f290.2"
49,"Senior","f290.2"
50,"GRT / Other","f290.4"
51,"GRT / Other","f282.4"
52,"Freshman","f282.1"
53,"Junior","f282.3"
54,"Freshman","f290.3"
55,"GRT / Other","f282.4"
56,"Senior","f290.1"
57,"Freshman","f282.1"
58,"Senior","f282.1"
59,"Freshman","f282.3"
60,"Sophomore","f290.3"
61,"GRT / Other","f282.2"
62,"Freshman","f290.2"
63,"Junior","f282.2"
64,"Freshman","f282.2"
65,"Sophomore","f290.3"
66,"Freshman","f282.4"
67,"Senior","f290.3"
68,"Freshman","f290.3"
69,"Sophomore","f290.4"
70,"Freshman","f282.2"
71,"Sophomore","f282.3"
72,,
73,,
74,,
75,,"f290.2"
76,,
77,,"f282.4"
78,,
79,"Freshman","f282.4"
80,"Sophomore","f282.2"
81,,"f290.4"
82,,
83,,
84,,
